"Adamstein, Dana"
"Agajanian Jr., J.C."
"Anderson, Eddie 'Rochester'"
"Abakaz, Suvit"
"Andosca, Rick"
"Boman, Mirko"
"Antonio, José (V)"
"Brunner, Robert (I)"
"Allen, Todd (I)"
"Barrymore, John (I)"
"Avalon, Frankie"
"Caesar, Sid"
"Antonio, Jim"
"Alvin, Martin"
"Andrews, Edward (I)"
"Arquette, Richmond"
"Abratowski, Ed"
"Amphoux, Michel"
"Adler, Roger"
"Andelin, James"
"Brin, Charles"
"Almenares, Ramón"
"Glenn, Roy"
"Dooley, Paul"
"Colvig, Pinto"
"Ahlers, David Ozzie"
"Bartman, William S."
"D'Onofrio, Vincent"
"Brando, Marlon"
"Bakalyan, Richard"
"Angiolini, Steven"
"Anderson, Rick (VIII)"
"Ah Mon, Lawrence"
"Andrews, Brian (I)"
"Bradley, Jordan (I)"
"Arkin, Adam"
"Bogart, Keith"
"Ayral, Necdet Mahfi"
"Méliès, Georges"
"Aylmer, Felix"
"Anholt, Christien"
"Ashikawa, Makoto"
"Begley Jr., Ed"
"Allen, Sid"
"Baker, Dylan (I)"
"Armstrong, Brett"
"Alexander, Rolf"
"Bovelett, Achim"
"Bagley, Tim"
"Bastard, Flash"
"Asner, Edward"
"Alfieri, Giulio"
"Brumfield, Harvey"
"Chow, Ho"
"Barnitt, Roy"
"Bevans, Clem"
"Baron, Chuck"
"Allen, Ray (V)"
"Basehart, Richard"
"Duffin, Shay"
"Antoniou, Fiv"
"Altman, John Neville Rufus"
"Amaral, Bob"
"Bello, Alex M."
"Almquist, Gregg"
"Bidault, Georges"
"Avery, Rick"
"Applegate, Jeremy"
"Barkwill, Scott"
"Birchall, Jeremy (I)"
"Barker, Don (I)"
"Baldwin, Alec"
"Brophy, Jed"
"Alvarez, George (I)"
"Aled, Gruffudd"
"Black, Ian (III)"
"Barton, Peter (I)"
"Marvin, Lee (I)"
"Allen, Anthony (I)"
"Atkinson, Steve (I)"
"Atkins, Peter (I)"
"Bass, Alfie (I)"
"Aiken, Liam"
"Armstrong, Chris (I)"
"Ali, Waleed B."
"Allar, Daniel"
"Boyum, Steve"
"Braeden, Eric (I)"
"Almanzar, James"
"Bacon, Irving"
"Carlson, Chris (VII)"
"Adams, Ted (I)"
"Cross, Roger R."
Amidou
"Mann, Gabriel (I)"
"Bauer, Chris (I)"
"Bridges, Lloyd (I)"
"Ardolino, Isaac"
"Alexander, Richard D."
"Banks, Peter (I)"
"Bertignac, Louis"
"Atholl, Steven"
"Barrows, George"
"Bellamy, Ralph"
"Bresson, David"
"Bagby, Larry"
"Balkay, Géza"
"Abel, Walter"
"Archie, John"
"Aizenberg, Lior"
"Butler, Gordon"
"Correa, Rúbens"
"Bamman, Gerry"
"Caballero, Joseph Luis"
"Busey, Jake (I)"
"Anuff, Joey"
"Benchley, Nat"
"Alonso, Daniel (I)"
"Aylett, Martin"
"Bear, Eddie"
"Chen, Zhigang (I)"
"Barylli, Gabriel"
"Adams, Albert (I)"
